SE_Filename	BNC_Filename	Rand.	Concordance1	Concor-dance2	Concordance3	Lemma	‘	NOT	Tense	Voice	?	Time reference	Continuous	Repeated	Extra function	Comment	Annotator
filename#67	SBYQ	done		was saying um		say			past	A		past	yes	no			E
filename#67	SBYQ	done		's being		be	c		present	A		present	yes	yes	other interesting function		E
filename#68	SBZW	done		been going		go			perfect	A		past/present	yes	yes			E
filename#68	SBZW	done		're just not understanding		understand	c	n	present	A		present	yes	no			E
filename#69	SBZ7	done		'm only joking		joke	c		present	A		present	yes	no			E
filename#69	SBZ7	done		be proud of being		be			NOT progressive	A		modal/infinitive	yes	no			E
filename#69	SBZ7	done		was saying		say			past	A		past	yes	no			E
filename#69	SBZ7	done		was thinking		think			past	A		past/present	yes	unclear			E
filename#69	SBZ7	done		'm thinking of going		think	c		present	A		present	yes	unclear			E
filename#70	SB2H	done		's taking		take	c		present	A	q	present	yes	no			E
filename#71	SB32	done		's in Morrisons and shopping		shop	c		present	A		general	yes	yes			E
filename#71	SB32	done		's working		work	c		present	A		future	yes	no			E
filename#71	SB32	done		was just holding		hold			past	A		past	yes	no			E
filename#71	SB32	done		'm planning		plan	c		present	A		future	yes	no			E
filename#72	SB4D	done		was thinking just chasing		think			past	A		unclear	yes	no			E
filename#72	SB4D	done		was knocking		knock			past	A		past	yes	no	framing		E
filename#72	SB4D	done		were just chatting		chat			past	A		past	yes	no			E
filename#72	SB4D	done		are you having		have			present	A	q	future	yes	no			E
filename#72	SB4D	done		're going		go	c		GOING TO	A		present	yes	no			E
filename#72	SB4D	done		is this isn't going		go	c	n	present	A		present	yes	no			E
filename#72	SB4D	done		was talking		talk			past	A		past	yes	no			E
filename#72	SB4D	done		're not saying		say	c	n	present	A		present	yes	no			E
filename#72	SB4D	done		are like hitting		hit			present	A		general	no	yes			E
filename#72	SB4D	done		been really struggling		struggle			perfect	A		past/present	yes	yes			E
filename#73	SB49	done		're actually sitting		sit	c		present	A		present	yes	no			E
filename#73	SB49	done		was going		go			past	A		past	yes	no	framing		E
filename#74	SB5E	done		're annoying		annoy	c		NOT progressive	A		present	yes	no			E
filename#74	SB5E	done		're struggling		struggle	c		present	A		present	yes	yes			E
filename#74	SB5E	done		's annoying		annoy	c		NOT progressive	A		present	yes	no			E
filename#74	SB5E	done		's absorbed before putting		put	c		NOT progressive	A		present	yes	no			E
filename#74	SB5E	done		were doing		do			past	A		past	no	no			E
filename#75	SB6S	done		'm good been cleaning		clean	c		perfect	A	q	past	yes	unclear			E
filename#75	SB6S	done		's why I'm sweating		sweat	c		present	A		present	yes	no			E
filename#75	SB6S	done		is just moving		move			NOT progressive	A		present	yes	no			E
filename#75	SB6S	done		're sitting or lying		sit	c		present	A		general	yes	yes			E
filename#75	SB6S	done		'm leaving		leave	c		present	A		unclear	no	no			E
filename#75	SB6S	done		's no travelling		travel	c		NOT progressive	A		present	yes	no			E
filename#75	SB6S	done		's still writing		write	c		present	A		present	yes	yes			E
filename#75	SB6S	done		're looking		look	c		present	A		general	no	yes			E
filename#76	SB7R	done		're taking		take	c		present	A		present	yes	no			E
filename#76	SB7R	done		're not taking		take	c	n	present	A		future	no	no			E
filename#76	SB7R	done		was spitting		spit			past	A		past	yes	no	framing		E
filename#76	SB7R	done		been crying		cry			perfect	A		past	yes	yes			E
filename#76	SB7R	done		'm aching		ache	c		present	A		present	yes	yes			E
filename#76	SB7R	done		was er		NA			NOT progressive	A		past	yes	no			E
filename#76	SB7R	done		're going to London doing		go	c		GOING TO	A		present	yes	no			E
filename#76	SB7R	done		are you kicking		kick			present	A	q	present	yes	yes			E
filename#76	SB7R	done		's losing		lose	c		present	A		present	yes	no	gradual change		E
filename#76	SB7R	done		's going		go	c		present	A		general	yes	yes			E
filename#76	SB7R	done		are coming		come			present	A		future	no	no			E
filename#76	SB7R	done		be finishing decorating		finish			catenative	A		future	yes	no			E
filename#76	SB7R	done		is is grout going		go			NOT progressive	A		present	yes	no			E
filename#76	SB7R	done		be getting		get			modal	A		future	yes	no			E
filename#76	SB7R	done		be actually putting		put			catenative	A		future	yes	no			E
filename#76	SB7R	done		was talking		talk			past	A		past	yes	no			E
filename#77	SB9K	done		be hassling		hassle			modal	A		unclear	yes	yes			E
filename#77	SB9K	done		are we having		have			present	A	q	future	no	no			E
filename#77	SB9K	done		be quite quite tiring		tire			NOT progressive	A		modal/infinitive	yes	no			E
filename#77	SB9K	done		is wow I'm getting		get	c		present	A		present	yes	no	gradual change		E
filename#77	SB9K	done		are you doing		do			present	A	q	present	yes	no			E
filename#78	SCA5	done		are cold I was looking		look up			past	A		past	yes	no			E
filename#78	SCA5	done		were saying		say			past	A		past	yes	no			E
filename#78	SCA5	done		're gonna be playing		play	c		catenative	A		future	yes	no			E
filename#78	SCA5	done		's just kind of acting		act	c		NOT progressive	A		present	yes	no			E
filename#79	SCEL	done		're talking		talk	c		present	A		general	yes	unclear			E
filename#79	SCEL	done		was doing		do			past	A		past	yes	no			E
filename#79	SCEL	done		was I saying		say			past	A	q	past	yes	no			E
filename#80	SCG7	done		been drunk ever good considering		consider			NOT progressive	A		perfect	yes	no			E
filename#80	SCG7	done		was a picture of er		NA			NOT progressive	A		past	yes	no			E
filename#81	SCG9	done		were kind of pilfering		pilfer			NOT progressive	A		past	yes	no			E
filename#81	SCG9	done		's going		go	c		present	A		general	yes	yes			E
filename#81	SCG9	done		was putting		put			past	A		past	yes	no			E
filename#82	SCJL	done		's taking		take	c		present	A		general	no	no			E
filename#82	SCJL	done		was just sort of combining		combine			NOT progressive	A		past	yes	no			E
filename#82	SCJL	done		was sort of getting		get			past	A		past	yes	no	gradual change		E
filename#83	SCKW	done		be one eyebrow trying		try			NOT progressive	A		modal/infinitive	yes	no			E
filename#83	SCKW	done		're not even going		go	c	n	GOING TO	A		present	yes	no			E
filename#83	SCKW	done		're making		make	c		present	A		unclear	no	no			E
filename#83	SCKW	done		was picking		pick			past	A		past	no	unclear			E
filename#84	SCMZ	done		was thinking		think			past	A		past/present	yes	unclear			E
filename#84	SCMZ	done		are you having		have			present	A	q	future	no	no			E
filename#86	SCPC	done		was going		go			past	A		past	yes	no	framing		E
filename#86	SCPC	done		was buying		buy			past	A		past	yes	no		you was ?	E
filename#86	SCPC	done		was without putting		put			past	A		past	yes	no			E
filename#86	SCPC	done		're er		NA	c		NOT progressive	A		present	yes	no			E
filename#86	SCPC	done		'm getting		get up	c		present	A		general	no	yes			E
filename#86	SCPC	done		was not meaning		mean		n	past	A		past	yes	no			E
filename#87	SCPR	done		been doing		do			perfect	A	q	past	yes	yes			E
filename#87	SCPR	done		was talking		talk			past	A		past	no	no			E
filename#87	SCPR	done		was going		go			past	A		past	no	no			E
filename#87	SCPR	done		's worrying		worry	c		present	A		present	yes	no			E
filename#87	SCPR	done		were talking		talk			past	A		past	yes	no			E
filename#87	SCPR	done		is flying down and stopping		fly			NOT progressive	A		future	no	no			E
filename#87	SCPR	done		're they're not paying		pay	c	n	present	A		general	yes	no			E
