Subcorpus	File_level	File_series	VDE	Collocate	Collocate_lemma	USAS	Concordance1	Concordance2	Concordance3
BNCspoken	filename#725		produce	sandwiches	sandwich	Food		make	
spoken	D	Solutions	produce	sauce	sauce	Food		making	
spoken	A	Access	produce	scones	scone	Food		make	
spoken	B	Access	produce	scones	scone	Food		made	
spoken	B	Access	produce	scones	scone	Food		made	
TxBnar	D	New Green Line	produce	soup	soup	Food		make	
spoken	A	Solutions	produce	soup	soup	Food		making	
BNCspoken	filename#1122		produce	soup	soup	Food		make	
BNCspoken	filename#414		produce	soup	soup	Food		making	
BNCspoken	filename#123		produce	soup	soup	Food		made	
BNCspoken	filename#347		produce	soup	soup	Food		make	
BNCspoken	filename#604		produce	soup	soup	Food		makes	
BNCspoken	filename#604		produce	soup	soup	Food		makes	
BNCspoken	filename#1188		produce	sour cream	sour cream	Food		make	
BNCspoken	filename#616		produce	spaghetti	spaghetti	Food		make	
TxBnar	C	Access	produce	steak and pancakes	steak and pancake	Food		making	
spoken	A	Solutions	produce	T-shirt	T-shirt	Clothing & Accessories		made	
spoken	E	Hi there	produce	tank	tank	Materials & Equipment		make	
BNCspoken	filename#605		produce	toad-in-the-hole	toad-in-the-hole	Food		made	
TxBnar	B	Achievers	produce	toast	toast	Food		made	
BNCspoken	filename#1083		produce	toastie	toastie	Food		made	
spoken	D	Access	produce	tortillas	tortilla	Food		make	
spoken	A	New Green Line	produce	trifle and cake	trifle	Food		make	
BNCspoken	filename#77		produce	wedges	wedge	Food		make	
TxBnar	C	New Green Line	produce	[food]	[food]	Food		made	
TxBnar	C	New Green Line	produce	[food]	[food]	Food		made	
BNCspoken	filename#77		produce	wrap	wrap	Food		made	
BNCspoken	filename#862		produce	Yorkshire puddings	Yorkshire pudding	Food		made	
spoken	C	Solutions	produce	characters	character	Language & Communication		make	
TxBnar	D	Join the Team	produce	copy	copy	General & abstract terms		made	
spoken	B	Piece of cake	produce	costume	costume	Clothing & Accessories		made	
Youth_Fiction	file_7		produce	covering	covering	General & abstract terms		made	
Youth_Fiction	file_218		produce	crack	crack	General & abstract terms		make	
TxBnar	B	Join the Team	produce	cross	cross	General & abstract terms		made	
TxBnar	E	Access	produce	cuts	cut	World, Life & Body		made	
TxBnar	E	Join the Team	produce	depression	depression	General & abstract terms		make	
BNCspoken	filename#107		produce	Eton mess (not [food]!)	Eton Mess	General & abstract terms		made	
spoken	B	English in Mind	produce	fakes	fake	General & abstract terms		make	
TxBnar	D	Green Line	produce	fire	fire	Materials & Equipment		made	
TxBnar	C	Hi there	produce	for	future	General & abstract terms		make	
Youth_Fiction	file_43		produce	gods	god	General & abstract terms		made	
TxBnar	A	Green Line	produce	groups	group	General & abstract terms		Make	
spoken	C	Access	produce	groups	group	General & abstract terms		make	
BNCspoken	filename#1066		produce	hallmarks	hallmark	General & abstract terms		made	
spoken	E	Hi there	produce	history	history	General & abstract terms		make	
TxBnar	C	Achievers	produce	IDs	ID	General & abstract terms		made	
spoken	E	New Green Line	produce	laws	law	General & abstract terms		making	
TxBnar	D	New Green Line	produce	noise	object	Materials & Equipment		made	
TxBnar	D	Green Line	produce	omelets	opening	General & abstract terms		make	
BNCspoken	filename#177		produce	patterns	pattern	General & abstract terms		made	
TxBnar	C	Hi there	produce	rule	rule	General & abstract terms		made	
TxBnar	A	Green Line	produce	rules	rule	General & abstract terms		make	
TxBnar	E	Green Line	produce	rules	rule	General & abstract terms		make	
Youth_Fiction	file_89		produce	rules	rule	General & abstract terms		make	
spoken	C	New Green Line	produce	rules	rule	General & abstract terms		make	
spoken	A	New Green Line	produce	rules	rule	General & abstract terms		make	
spoken	A	New Green Line	produce	rules	rule	General & abstract terms		make	
BNCspoken	filename#1147		produce	shit	shit	General & abstract terms		made	
BNCspoken	filename#742		produce	specifications	specification	General & abstract terms		made	
BNCspoken	filename#568		produce	term	term	Language & Communication		make	
spoken	E	Hi there	produce	wonders	wonder	General & abstract terms		make	
BNCspoken	filename#461		produce	blankets	blanket	Buildings & House		making	
Youth_Fiction	file_230		produce	building	building	Buildings & House		made	
spoken	C	New Green Line	produce	buildings	building	Buildings & House		made	
Youth_Fiction	file_82		produce	carpet	carpet	Buildings & House		made	
BNCspoken	filename#762		produce	ceiling	ceiling	Buildings & House		made	
Youth_Fiction	file_179		produce	chairs	chair	Buildings & House		making	
BNCspoken	filename#530		produce	dens	den	Buildings & House		make	
Youth_Fiction	file_197		produce	doors	door	Buildings & House		made	
TxBnar	E	Hi there	produce	foundation	foundation	Buildings & House		make	
TxBnar	C	Access	produce	furniture	furniture	Buildings & House		made	
TxBnar	C	Join the Team	produce	home	home	Buildings & House		make	
spoken	C	English in Mind	produce	house	house	Buildings & House		made	
BNCspoken	filename#1028		produce	houses	house	Buildings & House		making	
Youth_Fiction	file_240		produce	pen	pen	Buildings & House		make	
Youth_Fiction	file_258		produce	roof	roof	Buildings & House		made	
Youth_Fiction	file_69		produce	room	room	Buildings & House		made	
Youth_Fiction	file_126		produce	room	room	Buildings & House		make	
Youth_Fiction	file_129		produce	room	room	Buildings & House		make	
spoken	C	Solutions	produce	room	room	Buildings & House		make	
BNCspoken	filename#508		produce	room	room	Buildings & House		make	
spoken	B	Solutions	produce	seat	seat	Buildings & House		made	
Youth_Fiction	file_185		produce	shelter	shelter	Buildings & House		make	
Youth_Fiction	file_262		produce	steeple	steeple	Buildings & House		making	
BNCspoken	filename#413		produce	uni	uni	Buildings & House		make	
Youth_Fiction	file_178		produce	wall	wall	Buildings & House		make	
BNCspoken	filename#1039		produce	wall	wall	Buildings & House		make	
spoken	B	Solutions	produce	windows	window	Buildings & House		made	
BNCspoken	filename#306		produce	armies	army	Industry & Technology		making	
spoken	A	Green Line	produce	cyberpet	cyberpet	Industry & Technology		make	
BNCspoken	filename#74		produce	databases	database	Industry & Technology		making	
BNCspoken	filename#1217		produce	factories	factory	Industry & Technology		make	
spoken	B	Access	produce	farms	farm	Industry & Technology		make	
TxBnar	D	English in Mind	produce	inventions	invention	Industry & Technology		made	
BNCspoken	filename#82		produce	iPod	iPod	Industry & Technology		made	
BNCspoken	filename#685		produce	merchandise	merchandise	Industry & Technology		make	
spoken	B	New Green Line	produce	pennies	penny	Industry & Technology		made	
spoken	B	Solutions	produce	pennies	penny	Industry & Technology		made	
BNCspoken	filename#826		produce	phones	phone	Industry & Technology		make	
BNCspoken	filename#529		produce	printer	printer	Industry & Technology		make	
Youth_Fiction	file_10		produce	weapons	weapon	Industry & Technology		making	
Youth_Fiction	file_200		produce	beasts	beast	Arts & Crafts		make	
BNCspoken	filename#751		produce	burrow	burrow	World, Life & Body		make	
BNCspoken	filename#306		produce	children	children	World, Life & Body		make	
spoken	B	Access	produce	claws	claw	Arts & Crafts		made	
BNCspoken	filename#1101		produce	dog	dog	Arts & Crafts		make	
Youth_Fiction	file_106		produce	egg	egg	Food		make	
BNCspoken	filename#1205		produce	elderflower	elderflower	Drink		make	
Youth_Fiction	file_51		produce	everyone	everyone	World, Life & Body		made	
Youth_Fiction	file_170		produce	lair	lair	World, Life & Body		made	
Youth_Fiction	file_292		produce	life	life	World, Life & Body		making	
Youth_Fiction	file_8		produce	mutants	mutant	World, Life & Body		made	
BNCspoken	filename#357		produce	nest	nest	World, Life & Body		make	
BNCspoken	filename#1186		produce	people	people	World, Life & Body		made	
Youth_Fiction	file_281		produce	people	people	World, Life & Body		made	
Youth_Fiction	file_202		produce	proteins	protein	World, Life & Body		make	
spoken	E	Hi there	produce	soil	soil	World, Life & Body		make	
TxBnar	A	Green Line	produce	tree	tree	World, Life & Body		made	
TxBnar	B	Green Line	produce	web	web	World, Life & Body		made	
spoken	C	New Green Line	produce	web	web	World, Life & Body		making	
spoken	C	New Green Line	produce	web	web	World, Life & Body		making	
TxBnar	D	Join the Team	produce	webs	web	World, Life & Body		made	
spoken	C	New Green Line	produce	webs	web	World, Life & Body		making	
spoken	B	New Green Line	produce	webs	web	World, Life & Body		make	
spoken	B	English in Mind	produce	anything	anything	Materials & Equipment		made	
BNCspoken	filename#679		produce	anything	anything	Materials & Equipment		makes	
BNCspoken	filename#228		produce	ash	ash	Materials & Equipment		make	
Youth_Fiction	file_206		produce	ball	ball	Materials & Equipment		made	
spoken	C	Green Line	produce	balls	ball	Materials & Equipment		made	
BNCspoken	filename#284		produce	banner	banner	Materials & Equipment		made	
spoken	E	Hi there	produce	blocks	block	Materials & Equipment		made	
Youth_Fiction	file_137		produce	blocks of ice	blocks of ice	Materials & Equipment		made	
spoken	A	Join the Team	produce	bonfires	bonfire	Materials & Equipment		make	
BNCspoken	filename#993		produce	bookcase	bookcase	Materials & Equipment		made	
Youth_Fiction	file_44		produce	box	box	Materials & Equipment		made	
BNCspoken	filename#225		produce	box	box	Arts & Crafts		made	
spoken	C	New Green Line	produce	calendar	calendar	Arts & Crafts		make	
TxBnar	C	Access	produce	clay	clay	Arts & Crafts		made	
spoken	D	Solutions	produce	clocks	clock	Arts & Crafts		making	
Youth_Fiction	file_22		produce	cups	cup	Arts & Crafts		made	
BNCspoken	filename#872		produce	engines	engine	Materials & Equipment		make	
TxBnar	D	Green Line	produce	fire	fire	Materials & Equipment		make	
spoken	B	Achievers	produce	fire	fire	Materials & Equipment		make	
spoken	C	Green Line	produce	folder	folder	Language & Communication		make	
spoken	B	Access	produce	footprints	footprint	World, Life & Body		make	
spoken	B	Access	produce	footprints	footprint	World, Life & Body		made	
spoken	E	Hi there	produce	footprints	footprint	World, Life & Body		made	
TxBnar	E	Hi there	produce	fuel	fuel	Materials & Equipment		making	
TxBnar	E	Join the Team	produce	fuel	fuel	Materials & Equipment		making	
spoken	B	Solutions	produce	gadget	gadget	Industry & Technology		made	
BNCspoken	filename#1072		produce	generators and things	generator	Industry & Technology		make	
BNCspoken	filename#934		produce	glass	glass	Materials & Equipment		made	
TxBnar	A	New Green Line	produce	gold	coin	Materials & Equipment		made	
BNCspoken	filename#189		produce	gravy	gold	Food		make	
Youth_Fiction	file_63		produce	gum	gum	World, Life & Body		made	
spoken	A	Join the Team	produce	Guys	Guys	Arts & Crafts		make	
TxBnar	A	Green Line	produce	hole	hole	World, Life & Body		makes	
TxBnar	A	Green Line	produce	hole	hole	Materials & Equipment		makes	
TxBnar	A	Green Line	produce	hole	hole	Materials & Equipment		makes	
TxBnar	E	Access	produce	hole	hole	World, Life & Body		made	
Youth_Fiction	file_115		produce	hole	hole	Materials & Equipment		made	
BNCspoken	filename#618		produce	hole	hole	Materials & Equipment		made	
BNCspoken	filename#986		produce	hole	hole	Materials & Equipment		make	
BNCspoken	filename#261		produce	holes	hole	World, Life & Body		make	
spoken	A	Solutions	produce	instruments	instrument	Sports, Entertainment & Travel		makes	
Youth_Fiction	file_2		produce	into gold	gold	Materials & Equipment		make	
BNCspoken	filename#872		produce	joint	joint	Materials & Equipment		made	
spoken	E	Join the Team	produce	Kleenex	Kleenex	Materials & Equipment		made	
Youth_Fiction	file_288		produce	lamps	lamp	Materials & Equipment		made	
Youth_Fiction	file_197		produce	matchwood	matchwood	Materials & Equipment		made	
BNCspoken	filename#659		produce	mess	mess	Materials & Equipment		made	
TxBnar	C	English in Mind	produce	metal	metal	Materials & Equipment		made	
BNCspoken	filename#1098		produce	object	object	Materials & Equipment		made	
spoken	B	Solutions	produce	object	object	Industry & Technology		made	
spoken	B	Solutions	produce	object	object	Industry & Technology		made	
Youth_Fiction	file_234		produce	objects	object	Materials & Equipment		made	
Youth_Fiction	file_58		produce	paving	paving	Materials & Equipment		make	
BNCspoken	filename#228		produce	plate	plate	Materials & Equipment		make	
BNCspoken	filename#890		produce	present	present	Materials & Equipment		make	
spoken	D	Piece of cake	produce	products	product	Materials & Equipment		make	
spoken	E	Join the Team	produce	products	product	Materials & Equipment		make	
TxBnar	C	New Green Line	produce	rope	rope	Materials & Equipment		make	
TxBnar	D	Achievers	produce	something	something	Arts & Crafts		make	
spoken	D	Solutions	produce	something	something	Materials & Equipment		made	
spoken	A	New Green Line	produce	something	something	Arts & Crafts		make	
spoken	B	Solutions	produce	something	something	Materials & Equipment		make	
spoken	B	Solutions	produce	something	something	Materials & Equipment		make	
spoken	B	Solutions	produce	something	something	Materials & Equipment		make	
BNCspoken	filename#1101		produce	something	something	Materials & Equipment		make	
Youth_Fiction	file_170		produce	spirals	spiral	Materials & Equipment		made	
BNCspoken	filename#49		produce	stain	stain	Materials & Equipment		made	
